Minutes Index, Status Register, Accumulated Charge, Voltage, Current
540, 0, 41220, 7.444, -0.675
541, 0, 41201, 7.446, -0.651
542, 0, 41181, 7.447, -0.653
543, 0, 41161, 7.444, -0.663
544, 0, 41142, 7.442, -0.673
545, 0, 41122, 7.445, -0.647
546, 0, 41102, 7.442, -0.659
547, 0, 41083, 7.442, -0.656
548, 0, 41063, 7.437, -0.686
549, 0, 41043, 7.441, -0.655
550, 0, 41024, 7.438, -0.670
551, 0, 41004, 7.439, -0.658
552, 0, 40984, 7.435, -0.677
553, 0, 40965, 7.440, -0.642
554, 0, 40945, 7.434, -0.676
555, 0, 40925, 7.436, -0.663
556, 0, 40906, 7.431, -0.687
557, 0, 40886, 7.436, -0.649
558, 0, 40866, 7.432, -0.669
559, 0, 40846, 7.432, -0.665
560, 0, 40827, 7.426, -0.691
561, 0, 40807, 7.433, -0.651
562, 0, 40787, 7.426, -0.676
563, 0, 40768, 7.427, -0.663
564, 0, 40748, 7.425, -0.683
565, 0, 40728, 7.429, -0.659
566, 0, 40708, 7.425, -0.672
567, 0, 40689, 7.426, -0.663
568, 0, 40669, 7.421, -0.683
569, 0, 40649, 7.425, -0.659
570, 0, 40630, 7.420, -0.679
571, 0, 40610, 7.419, -0.680
572, 0, 40590, 7.418, -0.685
573, 0, 40570, 7.421, -0.658
574, 0, 40551, 7.418, -0.673
575, 0, 40531, 7.417, -0.681
576, 0, 40511, 7.414, -0.686
577, 0, 40491, 7.419, -0.653
578, 0, 40472, 7.414, -0.671
579, 0, 40452, 7.411, -0.689
580, 0, 40432, 7.411, -0.685
581, 0, 40412, 7.411, -0.670
582, 0, 40392, 7.410, -0.675
583, 0, 40373, 7.408, -0.688
584, 0, 40353, 7.408, -0.674
585, 0, 40333, 7.410, -0.661
586, 0, 40313, 7.406, -0.681
587, 0, 40294, 7.402, -0.695
588, 0, 40274, 7.404, -0.677
589, 0, 40254, 7.404, -0.667
590, 0, 40234, 7.402, -0.676
591, 0, 40214, 7.397, -0.698
592, 0, 40195, 7.401, -0.673
593, 0, 40175, 7.401, -0.664
594, 0, 40155, 7.398, -0.678
595, 0, 40135, 7.395, -0.692
596, 0, 40115, 7.396, -0.675
597, 0, 40095, 7.395, -0.676
598, 0, 40076, 7.394, -0.675
599, 0, 40056, 7.388, -0.699
600, 0, 40036, 7.393, -0.669
601, 0, 40016, 7.392, -0.670
602, 0, 39996, 7.388, -0.682
603, 0, 39976, 7.384, -0.694
604, 0, 39957, 7.389, -0.669
605, 0, 39937, 7.387, -0.676
606, 0, 39917, 7.385, -0.673
607, 0, 39897, 7.379, -0.701
608, 0, 39877, 7.384, -0.670
609, 0, 39857, 7.381, -0.681
610, 0, 39838, 7.382, -0.668
611, 0, 39818, 7.376, -0.696
612, 0, 39798, 7.381, -0.658
613, 0, 39778, 7.375, -0.687
614, 0, 39758, 7.376, -0.666
615, 0, 39738, 7.371, -0.697
616, 0, 39718, 7.375, -0.658
617, 0, 39698, 7.372, -0.681
618, 0, 39678, 7.371, -0.675
619, 0, 39659, 7.366, -0.693
620, 0, 39639, 7.372, -0.652
621, 0, 39619, 7.365, -0.686
622, 0, 39599, 7.364, -0.686
623, 0, 39579, 7.361, -0.692
624, 0, 39559, 7.366, -0.664
625, 0, 39539, 7.361, -0.678
626, 0, 39519, 7.360, -0.680
627, 0, 39499, 7.356, -0.690
628, 0, 39479, 7.359, -0.666
629, 0, 39459, 7.355, -0.684
630, 0, 39439, 7.354, -0.682
631, 0, 39419, 7.350, -0.689
632, 0, 39399, 7.355, -0.656
633, 0, 39380, 7.350, -0.685
